time,p_x,p_y,p_z
1.926000000000000156e+01,-6.647964715957641602e-01,-6.098620891571044922e-01,9.911338090896606445e-01
1.926999999999999957e+01,-6.648159623146057129e-01,-6.097842454910278320e-01,9.911507368087768555e-01
1.928000000000000114e+01,-6.648318767547607422e-01,-6.097102761268615723e-01,9.911579489707946777e-01
1.928999999999999915e+01,-6.648439764976501465e-01,-6.096404194831848145e-01,9.911671876907348633e-01
1.930000000000000071e+01,-6.648527383804321289e-01,-6.095747351646423340e-01,9.911650419235229492e-01
1.930999999999999872e+01,-6.648582220077514648e-01,-6.095132827758789062e-01,9.911665320396423340e-01
1.932000000000000028e+01,-6.648606657981872559e-01,-6.094563007354736328e-01,9.911707043647766113e-01
1.932999999999999829e+01,-6.648600697517395020e-01,-6.094034910202026367e-01,9.911662340164184570e-01
1.933999999999999986e+01,-6.648564338684082031e-01,-6.093547940254211426e-01,9.911652207374572754e-01
1.935000000000000142e+01,-6.648500561714172363e-01,-6.093101501464843750e-01,9.911719560623168945e-01
1.935999999999999943e+01,-6.648408174514770508e-01,-6.092694401741027832e-01,9.911808371543884277e-01
1.937000000000000099e+01,-6.648288965225219727e-01,-6.092326641082763672e-01,9.911828637123107910e-01
1.937999999999999901e+01,-6.648139953613281250e-01,-6.091998219490051270e-01,9.911862015724182129e-01
1.939000000000000057e+01,-6.647963523864746094e-01,-6.091709733009338379e-01,9.911944866180419922e-01
1.939999999999999858e+01,-6.647757887840270996e-01,-6.091457605361938477e-01,9.911914467811584473e-01
1.941000000000000014e+01,-6.647526025772094727e-01,-6.091244816780090332e-01,9.911937713623046875e-01
1.942000000000000171e+01,-6.647266149520874023e-01,-6.091071367263793945e-01,9.911946654319763184e-01
1.942999999999999972e+01,-6.646980643272399902e-01,-6.090938448905944824e-01,9.912019968032836914e-01
1.944000000000000128e+01,-6.646670699119567871e-01,-6.090844273567199707e-01,9.911866188049316406e-01
1.944999999999999929e+01,-6.646336913108825684e-01,-6.090790033340454102e-01,9.911756515502929688e-01
1.946000000000000085e+01,-6.645981669425964355e-01,-6.090774536132812500e-01,9.911696910858154297e-01
1.946999999999999886e+01,-6.645604968070983887e-01,-6.090798377990722656e-01,9.911495447158813477e-01
1.948000000000000043e+01,-6.645206809043884277e-01,-6.090859770774841309e-01,9.911360144615173340e-01
