time,p_x,p_y,p_z
2.367999999999999972e+01,7.305917739868164062e-01,-8.149989843368530273e-01,8.665323257446289062e-01
2.369000000000000128e+01,7.306585907936096191e-01,-8.151928186416625977e-01,8.665647506713867188e-01
2.369999999999999929e+01,7.307078242301940918e-01,-8.153858184814453125e-01,8.665928840637207031e-01
2.371000000000000085e+01,7.307399511337280273e-01,-8.155781626701354980e-01,8.666175007820129395e-01
2.371999999999999886e+01,7.307553887367248535e-01,-8.157699108123779297e-01,8.666405677795410156e-01
2.373000000000000043e+01,7.307544946670532227e-01,-8.159610033035278320e-01,8.666618466377258301e-01
2.373999999999999844e+01,7.307372689247131348e-01,-8.161518573760986328e-01,8.666830658912658691e-01
2.375000000000000000e+01,7.307040691375732422e-01,-8.163420557975769043e-01,8.667019009590148926e-01
2.376000000000000156e+01,7.306551933288574219e-01,-8.165313005447387695e-01,8.667228221893310547e-01
2.376999999999999957e+01,7.305908799171447754e-01,-8.167194724082946777e-01,8.667410612106323242e-01
2.378000000000000114e+01,7.305121421813964844e-01,-8.169064521789550781e-01,8.667541742324829102e-01
2.378999999999999915e+01,7.304191589355468750e-01,-8.170922398567199707e-01,8.667647838592529297e-01
2.380000000000000071e+01,7.303128838539123535e-01,-8.172770142555236816e-01,8.667718172073364258e-01
2.380999999999999872e+01,7.301940321922302246e-01,-8.174610137939453125e-01,8.667770028114318848e-01
2.382000000000000028e+01,7.300626039505004883e-01,-8.176442384719848633e-01,8.667815327644348145e-01
2.382999999999999829e+01,7.299189567565917969e-01,-8.178263902664184570e-01,8.667894005775451660e-01
2.383999999999999986e+01,7.297631502151489258e-01,-8.180074095726013184e-01,8.667997717857360840e-01
2.385000000000000142e+01,7.295956611633300781e-01,-8.181870579719543457e-01,8.668075799942016602e-01
2.385999999999999943e+01,7.294168472290039062e-01,-8.183654546737670898e-01,8.668091297149658203e-01
2.387000000000000099e+01,7.292274832725524902e-01,-8.185426592826843262e-01,8.668101429939270020e-01
2.387999999999999901e+01,7.290281653404235840e-01,-8.187186717987060547e-01,8.668143153190612793e-01
2.389000000000000057e+01,7.288194894790649414e-01,-8.188938498497009277e-01,8.668202161788940430e-01
2.389999999999999858e+01,7.286018133163452148e-01,-8.190679550170898438e-01,8.668254017829895020e-01
2.391000000000000014e+01,7.283753156661987305e-01,-8.192406892776489258e-01,8.668328523635864258e-01
2.392000000000000171e+01,7.281401157379150391e-01,-8.194115161895751953e-01,8.668370246887207031e-01
2.392999999999999972e+01,7.278964519500732422e-01,-8.195803165435791016e-01,8.668374419212341309e-01
2.394000000000000128e+01,7.276449799537658691e-01,-8.197470307350158691e-01,8.668349385261535645e-01
2.394999999999999929e+01,7.273864150047302246e-01,-8.199117183685302734e-01,8.668349981307983398e-01
2.396000000000000085e+01,7.271216511726379395e-01,-8.200744986534118652e-01,8.668391704559326172e-01
2.396999999999999886e+01,7.268509864807128906e-01,-8.202356696128845215e-01,8.668501973152160645e-01
2.398000000000000043e+01,7.265746593475341797e-01,-8.203951120376586914e-01,8.668646812438964844e-01
2.398999999999999844e+01,7.262929677963256836e-01,-8.205525279045104980e-01,8.668838143348693848e-01
2.400000000000000000e+01,7.260056138038635254e-01,-8.207074403762817383e-01,8.669003248214721680e-01
2.401000000000000156e+01,7.257129549980163574e-01,-8.208595514297485352e-01,8.669101595878601074e-01
2.401999999999999957e+01,7.254157066345214844e-01,-8.210085034370422363e-01,8.669149279594421387e-01
2.403000000000000114e+01,7.251145243644714355e-01,-8.211546540260314941e-01,8.669126629829406738e-01
2.403999999999999915e+01,7.248103022575378418e-01,-8.212979435920715332e-01,8.669199347496032715e-01
2.405000000000000071e+01,7.245032191276550293e-01,-8.214388489723205566e-01,8.669299483299255371e-01
2.405999999999999872e+01,7.241933941841125488e-01,-8.215771913528442383e-01,8.669440150260925293e-01
2.407000000000000028e+01,7.238811254501342773e-01,-8.217126131057739258e-01,8.669590950012207031e-01
2.407999999999999829e+01,7.235665917396545410e-01,-8.218450546264648438e-01,8.669755458831787109e-01
2.408999999999999986e+01,7.232500910758972168e-01,-8.219739794731140137e-01,8.669871687889099121e-01
